Offense Code,District,Frequency
3102,c6,11
3102,d14,5
3102,d4,17
3102,e13,9
3102,e18,5
3102,e5,61
3106,a1,74
3106,a15,25
3106,a7,44
3106,b2,75
3106,b3,80
3106,c11,104
3106,c6,78
3106,d14,101
3106,d4,122
3106,e13,65
3106,e18,60
3106,e5,79
3108,a1,100
3108,a15,29
3108,a7,67
3108,b2,169
3108,b3,134
3108,c11,207
3108,c6,83
3108,d14,116
3108,d4,125
3108,e13,73
3108,e18,85
3108,e5,76
3109,a1,513
3109,a15,163
3109,a7,138
3109,b2,303
3109,b3,298
3109,c11,318
3109,c6,216
3109,d14,110
3109,d4,232
3109,e13,109
3109,e18,56
3109,e5,82
311,a1,45
311,a15,14
311,a7,33
311,b2,66
311,b3,84
311,c11,136
311,c6,30
311,d14,20
311,d4,55
311,e13,18
311,e18,35
311,e5,18
3110,a1,9
3110,a15,14
3110,a7,1
3110,b2,8
3110,b3,21
3110,c11,15
3110,c6,4
3110,d14,11
3110,d4,13
3110,e13,7
3110,e18,5
3110,e5,85
3111,a1,590
3111,a15,12
3111,a7,99
3111,b2,54
3111,b3,58
3111,c11,78
3111,c6,237
3111,d14,178
3111,d4,292
3111,e13,39
3111,e18,24
3111,e5,34
3112,a1,21
3112,a15,11
3112,a7,44
3112,b2,152
3112,b3,302
3112,c11,172
3112,c6,23
3112,d14,39
3112,d4,25
3112,e13,41
3112,e18,95
3112,e5,41
3114,a1,1499
3114,a15,195
3114,a7,313
3114,b2,1703
3114,b3,1431
3114,c11,1356
3114,c6,657
3114,d14,670
3114,d4,1226
3114,e13,667
3114,e18,913
3114,e5,409
3115,a1,1610
3115,a15,464
3115,a7,890
3115,b2,2747
3115,b3,2460
3115,c11,2681
3115,c6,1386
3115,d14,1208
3115,d4,2092
3115,e13,891
3115,e18,1193
3115,e5,1059
3116,a1,38
3116,a15,12
3116,a7,38
3116,b2,1
3116,c11,7
3116,c6,61
3116,d14,2
3116,d4,1
3119,a1,38
3119,a15,11
3119,a7,20
3119,b2,130
3119,b3,98
3119,c11,111
3119,c6,54
3119,d14,35
3119,d4,61
3119,e13,28
3119,e18,38
3119,e5,64
3122,a7,33
3122,d4,1
3122,e18,1
3123,b2,2
3123,c11,7
3123,d14,1
3123,d4,1
3123,e13,1
3123,e5,1
3125,a1,1690
3125,a15,116
3125,a7,349
3125,b2,1332
3125,b3,655
3125,c11,1195
3125,c6,735
3125,d14,250
3125,d4,1208
3125,e13,451
3125,e18,228
3125,e5,135
3130,a1,51
3130,a15,19
3130,a7,30
3130,b2,215
3130,b3,206
3130,c11,123
3130,c6,38
3130,d14,66
3130,d4,39
3130,e13,56
3130,e18,58
3130,e5,62
315,b3,1
3160,a1,32
3160,a15,16
3160,a7,24
3160,b2,92
3160,b3,82
3160,c11,57
3160,c6,25
3160,d14,32
3160,d4,38
3160,e13,36
3160,e18,62
3160,e5,27
3170,a1,22
3170,a15,15
3170,a7,27
3170,b2,49
3170,b3,41
3170,c11,61
3170,c6,9
3170,d14,16
3170,d4,20
3170,e13,17
3170,e18,19
3170,e5,12
3201,a1,1858
3201,a15,165
3201,a7,239
3201,b2,1095
3201,b3,834
3201,c11,839
3201,c6,636
3201,d14,575
3201,d4,1409
3201,e13,360
3201,e18,535
3201,e5,305
3202,a1,30
3202,a15,4
3202,a7,7
3202,b2,20
